Order Date,Region,Category,Sales,Profit
2021-10-01,West,Office Supplies,2712.0,63.36
2022-01-28,South,Technology,2337.75,208.44
2021-12-12,Central,Office Supplies,3067.97,-77.27
2020-01-29,West,Technology,4920.92,931.91
2022-07-19,East,Furniture,1217.21,299.48
2021-02-06,Central,Furniture,2605.37,667.35
2022-10-07,Central,Office Supplies,4717.82,-158.95
2021-01-15,East,Technology,1412.31,177.51
2022-10-16,South,Technology,4527.65,-239.24
2020-06-17,Central,Technology,2658.54,-286.44
2020-12-18,West,Technology,901.46,262.65
2023-05-26,East,Furniture,4344.48,-759.58
2022-08-07,West,Furniture,4423.34,1215.47
2023-12-07,West,Office Supplies,1810.37,-29.48
2023-04-13,South,Furniture,3118.41,-606.11
2020-04-17,West,Technology,911.23,255.14
2021-04-05,Central,Furniture,1263.47,367.37
2021-07-05,East,Furniture,3390.48,310.43
2022-05-18,East,Technology,3965.32,-265.89
2021-02-14,West,Furniture,1043.0,222.48
2020-04-07,Central,Furniture,3054.65,191.4
2023-04-19,South,Technology,1753.06,-17.61
2021-05-13,South,Technology,3133.77,432.51
2022-04-11,East,Technology,4154.83,-335.01
2021-10-02,South,Furniture,953.73,-29.18
2023-03-24,West,Furniture,1880.57,150.56
2023-10-26,Central,Office Supplies,4068.05,664.26
2021-07-07,South,Technology,2553.49,-211.65
2021-12-12,Central,Technology,3795.21,54.5
2021-04-26,East,Furniture,2096.3,203.06
2020-09-18,West,Furniture,625.6,63.61
2020-11-28,South,Office Supplies,2520.94,175.3
2022-01-15,South,Furniture,4349.63,-97.65
2022-03-18,Central,Furniture,1183.63,71.24
2021-06-16,West,Technology,1941.3,415.78
2020-08-08,South,Office Supplies,153.46,-3.35
2022-04-21,West,Furniture,712.91,-123.79
2023-10-31,South,Technology,1810.68,492.31
2023-05-27,South,Technology,4647.87,756.88
2022-12-10,Central,Office Supplies,1115.51,45.33
2022-03-02,Central,Technology,3344.56,841.12
2021-07-12,Central,Furniture,3683.48,-262.59
2021-12-26,South,Technology,1346.32,-70.98
2020-02-19,East,Technology,4991.26,1145.88
2022-02-27,South,Office Supplies,3641.17,-105.74
2022-06-13,South,Technology,2597.92,620.19
2021-11-17,East,Office Supplies,2522.97,473.83
2020-04-21,East,Furniture,3708.38,247.19
2023-04-12,West,Office Supplies,1621.49,286.39
2021-11-03,Central,Technology,785.41,-77.55
2023-08-01,East,Office Supplies,3919.36,554.67
2020-07-16,East,Furniture,2216.23,203.98
2023-08-31,Central,Technology,4580.52,-321.29
2022-07-10,East,Furniture,1773.23,-79.62
2020-09-02,Central,Furniture,3513.74,-468.23
2023-06-01,West,Furniture,4796.18,1137.36
2021-12-29,East,Furniture,3520.15,-267.71
2020-05-17,West,Furniture,2866.32,-14.28
2020-07-29,West,Furniture,4927.9,594.63
2020-11-26,West,Office Supplies,4651.47,-673.28
2021-07-15,Central,Office Supplies,1088.07,82.31
2021-07-13,East,Technology,1940.51,-8.34
2022-04-15,South,Office Supplies,2845.84,456.86
2022-03-02,West,Furniture,393.61,117.82
2020-12-21,West,Office Supplies,1504.16,226.19
2023-02-01,East,Furniture,4030.79,105.56
2023-01-01,South,Furniture,1338.9,231.22
2022-10-27,West,Technology,4335.16,-315.03
2021-07-14,Central,Technology,1479.39,-135.32
2021-02-10,South,Office Supplies,1460.85,18.69
2023-06-07,South,Technology,3408.37,-632.01
2022-07-06,East,Office Supplies,121.81,-10.62
2023-01-17,Central,Office Supplies,3701.26,-452.95
2023-10-14,East,Furniture,2428.19,148.75
2022-04-03,West,Technology,3914.81,-351.2
2021-05-15,West,Office Supplies,4429.93,-282.79
2020-03-17,Central,Furniture,495.41,-9.52
2022-10-23,South,Technology,4734.39,1084.84
2023-10-10,East,Office Supplies,2513.51,737.86
2023-12-25,Central,Office Supplies,4620.08,-473.1
2023-01-18,South,Office Supplies,3214.76,48.2
2022-08-01,Central,Technology,1307.84,340.68
2020-05-06,West,Furniture,2935.7,-309.93
2023-02-24,South,Technology,2225.69,17.32
